customer_id,Min of Recency,Count of product_id,Sum of Profit,R_score,F_score,M_score,RFM Value,Customer Title
136,20,8,3543.2,3,4,3,343,Gold
137,27,5,1496.45,3,2,1,321,Gold
138,64,7,3377.12,2,3,3,233,Silver
139,26,9,5161.44,3,4,4,344,Gold
140,3,6,2699.9,4,2,2,422,Platinum
141,159,3,2138.35,1,1,2,112,Bronze
142,4,11,3917.34,4,4,3,443,Platinum
143,13,4,2474.77,4,1,2,412,Platinum
144,6,8,4888.02,4,4,4,444,Platinum
145,28,7,3140.3,3,3,3,333,Gold
146,194,2,217.06,1,1,1,111,Bronze
147,34,6,5034.16,3,2,4,324,Gold
148,43,5,3268.4,3,2,3,323,Gold
149,18,6,2204.48,4,2,2,422,Platinum
150,75,4,2446.51,2,1,2,212,Silver
151,0,8,5665.41,4,4,4,444,Platinum
152,158,2,1966.88,1,1,2,112,Bronze
153,64,7,5522.51,2,3,4,234,Silver
154,23,6,683.63,3,2,1,321,Gold
155,8,3,1088.42,4,1,1,411,Gold
156,16,5,3095.37,4,2,3,423,Platinum
157,135,4,492.23,1,1,1,111,Bronze
158,65,6,4627.35,2,2,4,224,Silver
159,66,6,2935.37,2,2,3,223,Silver
160,93,2,2614.16,1,1,2,112,Bronze
161,159,1,459.46,1,1,1,111,Bronze
162,98,3,1329.61,1,1,1,111,Bronze
163,114,2,1101.28,1,1,1,111,Bronze
164,198,3,786.14,1,1,1,111,Bronze
165,8,9,6182.52,4,4,4,444,Platinum
166,63,8,4197.44,2,4,4,244,Silver
167,14,9,5993.34,4,4,4,444,Platinum
168,136,9,5800.6,1,4,4,144,Bronze
169,61,3,696.26,2,1,1,211,Bronze
170,100,4,1820.81,1,1,2,112,Bronze
171,18,9,4833.14,4,4,4,444,Platinum
172,11,8,2348.66,4,4,2,442,Platinum
173,15,9,6549.51,4,4,4,444,Platinum
174,11,10,7628.24,4,4,4,444,Platinum
175,64,5,2170.54,2,2,2,222,Silver
176,22,5,3090.07,3,2,3,323,Gold
177,37,12,4108.6,3,4,3,343,Gold
178,32,4,2184.58,3,1,2,312,Gold
179,40,3,1814.59,3,1,2,312,Gold
180,11,7,4065.35,4,3,3,433,Platinum
181,50,6,2365.24,2,2,2,222,Silver
182,13,7,5409.12,4,3,4,434,Platinum
183,102,6,3187.84,1,2,3,123,Bronze
184,32,3,2181.35,3,1,2,312,Gold
185,8,7,3547.68,4,3,3,433,Platinum
186,23,6,2166.17,3,2,2,322,Gold
187,14,7,3014.88,4,3,3,433,Platinum
188,15,6,2658.87,4,2,2,422,Platinum
189,3,5,5329.98,4,2,4,424,Platinum
190,29,4,704.28,3,1,1,311,Silver
191,105,1,834.94,1,1,1,111,Bronze
192,79,4,1519.47,2,1,1,211,Bronze
193,24,5,2551.5,3,2,2,322,Gold
194,108,3,2608.28,1,1,2,112,Bronze
195,0,7,9633.41,4,3,4,434,Platinum
196,146,8,3738,1,4,3,143,Bronze
197,27,9,3651.71,3,4,3,343,Gold
198,58,9,6631.87,2,4,4,244,Silver
199,15,4,2650.53,4,1,2,412,Platinum
200,7,9,7283.86,4,4,4,444,Platinum
201,28,8,4369.02,3,4,4,344,Gold
202,18,3,1295.91,4,1,1,411,Gold
203,11,5,1481.12,4,2,1,421,Platinum
204,27,8,6287.29,3,4,4,344,Gold
205,52,9,2008.27,2,4,2,242,Silver
206,77,4,3816.65,2,1,3,213,Silver
207,279,3,1630.03,1,1,1,111,Bronze
208,27,5,3342.02,3,2,3,323,Gold
209,107,5,3081.07,1,2,3,123,Bronze
210,22,6,2957.03,3,2,3,323,Gold
211,39,9,4090.05,3,4,3,343,Gold
212,187,2,1790.41,1,1,1,111,Bronze
213,28,11,8544.5,3,4,4,344,Gold
214,56,6,2498.84,2,2,2,222,Silver
215,3,8,3889.39,4,4,3,443,Platinum
216,16,5,2152.05,4,2,2,422,Platinum
217,4,8,2335.69,4,4,2,442,Platinum
218,14,5,1476.17,4,2,1,421,Platinum
219,40,7,1688.33,3,3,1,331,Gold
220,15,6,4304.11,4,2,4,424,Platinum
221,18,6,3865.68,4,2,3,423,Platinum
222,20,2,1428.06,3,1,1,311,Silver
223,52,7,4410.07,2,3,4,234,Silver
224,1,6,3692.09,4,2,3,423,Platinum
225,37,3,1587.55,3,1,1,311,Silver
226,116,2,1173.86,1,1,1,111,Bronze
227,26,5,3906.03,3,2,3,323,Gold
228,77,5,3719.75,2,2,3,223,Silver
229,60,5,1811.84,2,2,2,222,Silver
230,36,11,5319.63,3,4,4,344,Gold
231,45,4,2344.52,3,1,2,312,Gold
232,141,6,3157.59,1,2,3,123,Bronze
233,17,6,2187.09,4,2,2,422,Platinum
234,11,10,5763.13,4,4,4,444,Platinum
235,2,11,4685.82,4,4,4,444,Platinum
236,6,4,2434.64,4,1,2,412,Platinum
237,26,8,3635.04,3,4,3,343,Gold
238,107,5,3112.57,1,2,3,123,Bronze
239,1,9,5928.23,4,4,4,444,Platinum
240,88,6,2338.21,2,2,2,222,Silver
241,47,4,1922.82,2,1,2,212,Silver
242,131,7,2558.7,1,3,2,132,Bronze
243,74,6,2193.55,2,2,2,222,Silver
244,194,4,3269.2,1,1,3,113,Bronze
245,12,5,2213.02,4,2,2,422,Platinum
246,27,9,3174.16,3,4,3,343,Gold
247,112,7,4913.16,1,3,4,134,Bronze
248,134,7,3193.32,1,3,3,133,Bronze
249,47,9,2236.13,2,4,2,242,Silver
250,31,7,4019.05,3,3,3,333,Gold
251,38,4,1210,3,1,1,311,Silver
252,62,5,2597.64,2,2,2,222,Silver
253,17,5,1191.29,4,2,1,421,Platinum
254,41,7,6780.95,3,3,4,334,Gold
255,57,12,6813.82,2,4,4,244,Silver
256,0,5,1728.66,4,2,1,421,Platinum
257,92,5,3650.53,1,2,3,123,Bronze
258,18,5,1642.58,4,2,1,421,Platinum
259,27,4,2124.65,3,1,2,312,Gold
260,8,9,3381.41,4,4,3,443,Platinum
261,50,9,4033.15,2,4,3,243,Silver
262,10,5,2117.86,4,2,2,422,Platinum
263,46,7,3476.94,2,3,3,233,Silver
264,48,5,1025.3,2,2,1,221,Silver
265,79,4,2692.91,2,1,2,212,Silver
266,32,4,1742.83,3,1,1,311,Silver
267,130,4,2337.99,1,1,2,112,Bronze
268,69,4,2713.19,2,1,2,212,Silver
269,168,5,1668.85,1,2,1,121,Bronze
270,7,7,4625.21,4,3,4,434,Platinum
271,202,2,1026.27,1,1,1,111,Bronze
272,91,7,3842.07,1,3,3,133,Bronze
273,28,10,6519.24,3,4,4,344,Gold
274,149,4,790.06,1,1,1,111,Bronze
275,132,7,4141.68,1,3,4,134,Bronze
276,3,6,1107.95,4,2,1,421,Platinum
277,21,4,1967.13,3,1,2,312,Gold
278,248,1,827.16,1,1,1,111,Bronze
279,14,6,2455.93,4,2,2,422,Platinum
280,43,11,7360.53,3,4,4,344,Gold
281,9,4,2233.67,4,1,2,412,Platinum
282,69,2,624.15,2,1,1,211,Bronze
283,91,6,4926.57,1,2,4,124,Bronze
284,133,5,3251.42,1,2,3,123,Bronze
285,7,6,2626.74,4,2,2,422,Platinum
286,137,4,1954.7,1,1,2,112,Bronze
287,138,1,1408.91,1,1,1,111,Bronze
288,44,4,1808.73,3,1,2,312,Gold
289,44,10,3924.11,3,4,3,343,Gold
290,11,5,3368.28,4,2,3,423,Platinum
291,40,2,605.01,3,1,1,311,Silver
292,58,7,3631.6,2,3,3,233,Silver
293,10,5,1991.93,4,2,2,422,Platinum
294,115,7,5509.67,1,3,4,134,Bronze
295,34,7,4539.9,3,3,4,334,Gold
296,8,3,2515.29,4,1,2,412,Platinum
297,8,4,3599.18,4,1,3,413,Platinum
298,8,11,5285.59,4,4,4,444,Platinum
299,92,7,6897.92,1,3,4,134,Bronze
300,156,5,3475.9,1,2,3,123,Bronze
301,93,2,89.71,1,1,1,111,Bronze
302,276,2,255.41,1,1,1,111,Bronze
303,43,3,3247.08,3,1,3,313,Gold
304,80,9,2785.04,2,4,2,242,Silver
305,33,7,2700.88,3,3,2,332,Gold
306,123,2,239.35,1,1,1,111,Bronze
307,15,9,3660.95,4,4,3,443,Platinum
308,25,6,4086.21,3,2,3,323,Gold
309,9,4,2208.58,4,1,2,412,Platinum
310,8,7,4744.19,4,3,4,434,Platinum
311,61,6,4054.48,2,2,3,223,Silver
312,13,6,5001.71,4,2,4,424,Platinum
313,17,6,3186.63,4,2,3,423,Platinum
314,20,8,3200.15,3,4,3,343,Gold
315,27,9,2200.11,3,4,2,342,Gold
316,11,4,2158.71,4,1,2,412,Platinum
317,51,5,3537.39,2,2,3,223,Silver
318,9,7,3632.18,4,3,3,433,Platinum
319,71,5,3955.91,2,2,3,223,Silver
320,12,10,7204.66,4,4,4,444,Platinum
321,12,5,2006.18,4,2,2,422,Platinum
322,1,12,10341.57,4,4,4,444,Platinum
323,35,6,2020.73,3,2,2,322,Gold
324,21,5,1779.7,3,2,1,321,Gold
325,133,7,4465.08,1,3,4,134,Bronze
326,161,3,1201.25,1,1,1,111,Bronze
327,16,5,3498.63,4,2,3,423,Platinum
328,4,8,2357.8,4,4,2,442,Platinum
329,34,6,3618.01,3,2,3,323,Gold
330,107,6,5296.8,1,2,4,124,Bronze
331,82,7,4404.67,2,3,4,234,Silver
332,263,2,239.35,1,1,1,111,Bronze
333,22,7,3320.1,3,3,3,333,Gold
334,56,6,2127.59,2,2,2,222,Silver
335,24,2,456.99,3,1,1,311,Silver
336,82,5,2598.16,2,2,2,222,Silver
337,37,6,3388.82,3,2,3,323,Gold
338,10,7,2343.71,4,3,2,432,Platinum
339,58,5,4327.24,2,2,4,224,Silver
340,30,8,2781.36,3,4,2,342,Gold
341,134,2,955.08,1,1,1,111,Bronze
342,93,4,667.15,1,1,1,111,Bronze
343,103,9,5193.56,1,4,4,144,Bronze
344,8,9,8101.26,4,4,4,444,Platinum
345,19,7,3971.46,3,3,3,333,Gold
346,12,9,6420.7,4,4,4,444,Platinum
347,59,7,8326.37,2,3,4,234,Silver
348,125,6,2071.99,1,2,2,122,Bronze
349,166,5,1669.26,1,2,1,121,Bronze
350,4,6,1008.71,4,2,1,421,Platinum
351,11,2,1438.62,4,1,1,411,Gold
352,25,6,4404.4,3,2,4,324,Gold
353,23,11,6792.83,3,4,4,344,Gold
354,67,6,3101.72,2,2,3,223,Silver
355,45,5,2662.75,3,2,2,322,Gold
356,61,5,2358,2,2,2,222,Silver
357,15,8,4455.49,4,4,4,444,Platinum
358,70,2,1405.99,2,1,1,211,Bronze
359,8,10,2921.76,4,4,3,443,Platinum
360,8,5,5070.23,4,2,4,424,Platinum
361,146,7,3428.15,1,3,3,133,Bronze
362,0,5,1473.04,4,2,1,421,Platinum
363,14,6,9458.17,4,2,4,424,Platinum
364,11,6,3329.97,4,2,3,423,Platinum
365,50,7,4724.04,2,3,4,234,Silver
366,115,6,2692.7,1,2,2,122,Bronze
367,43,6,3634.45,3,2,3,323,Gold
368,13,9,3939.73,4,4,3,443,Platinum
369,101,8,3931.77,1,4,3,143,Bronze
370,111,7,3290.26,1,3,3,133,Bronze
371,9,5,5004.52,4,2,4,424,Platinum
372,31,8,2598.13,3,4,2,342,Gold
373,223,1,1103.43,1,1,1,111,Bronze
374,13,6,5271.75,4,2,4,424,Platinum
375,91,4,488,1,1,1,111,Bronze
376,43,3,368.17,3,1,1,311,Silver
377,6,13,4276.97,4,4,4,444,Platinum
378,124,7,3236.32,1,3,3,133,Bronze
379,145,2,640.93,1,1,1,111,Bronze
380,35,8,6196.16,3,4,4,344,Gold
381,2,8,4534.24,4,4,4,444,Platinum
382,35,7,1657.45,3,3,1,331,Gold
383,51,3,987.49,2,1,1,211,Bronze
384,85,5,2917.59,2,2,3,223,Silver
385,78,9,5220.52,2,4,4,244,Silver
386,66,5,2415.97,2,2,2,222,Silver
387,31,3,3417.78,3,1,3,313,Gold
388,55,3,1834.03,2,1,2,212,Silver
389,113,6,2123.26,1,2,2,122,Bronze
390,76,6,1511.2,2,2,1,221,Silver
391,56,4,1315.06,2,1,1,211,Bronze
392,101,7,5025.31,1,3,4,134,Bronze
393,146,2,866.58,1,1,1,111,Bronze
394,45,8,5445.46,3,4,4,344,Gold
395,30,7,4597.74,3,3,4,334,Gold
396,29,6,4647.13,3,2,4,324,Gold
397,45,6,2618,3,2,2,322,Gold
398,12,7,938.5,4,3,1,431,Platinum
399,49,6,5020.5,2,2,4,224,Silver
400,134,5,2688.92,1,2,2,122,Bronze
401,29,7,3643.03,3,3,3,333,Gold
402,56,6,4965.43,2,2,4,224,Silver
403,56,6,3653.69,2,2,3,223,Silver
404,18,9,4965.7,4,4,4,444,Platinum
405,14,6,3338.34,4,2,3,423,Platinum
406,106,6,3486.14,1,2,3,123,Bronze
407,9,9,4096.06,4,4,3,443,Platinum
408,17,5,3082.28,4,2,3,423,Platinum
409,13,4,2267.84,4,1,2,412,Platinum
410,6,7,2177.93,4,3,2,432,Platinum
411,187,5,2553.83,1,2,2,122,Bronze
412,27,3,1055.03,3,1,1,311,Silver
413,167,5,3822.8,1,2,3,123,Bronze
414,47,6,2304.56,2,2,2,222,Silver
415,248,2,1490.77,1,1,1,111,Bronze
416,88,5,3085.98,2,2,3,223,Silver
417,70,8,3807.64,2,4,3,243,Silver
418,28,6,3325.13,3,2,3,323,Gold
419,14,7,5027.37,4,3,4,434,Platinum
420,59,10,3652.17,2,4,3,243,Silver
421,56,6,3952.15,2,2,3,223,Silver
422,133,4,2390.84,1,1,2,112,Bronze
423,141,5,1589.82,1,2,1,121,Bronze
424,74,7,4525.19,2,3,4,234,Silver
425,25,7,7388.6,3,3,4,334,Gold
426,59,9,6933.15,2,4,4,244,Silver
427,109,4,2515.68,1,1,2,112,Bronze
428,51,8,3355.11,2,4,3,243,Silver
429,18,8,3652.26,4,4,3,443,Platinum
430,65,6,5625.17,2,2,4,224,Silver
431,98,2,1215.34,1,1,1,111,Bronze
432,21,8,5110.17,3,4,4,344,Gold
433,15,9,3754.16,4,4,3,443,Platinum
434,297,2,1027.89,1,1,1,111,Bronze
435,102,4,4727.75,1,1,4,114,Bronze
436,50,3,2124.71,2,1,2,212,Silver
437,48,6,3045.6,2,2,3,223,Silver
438,51,8,7692.39,2,4,4,244,Silver
439,99,6,2750.24,1,2,2,122,Bronze
440,11,8,2481.19,4,4,2,442,Platinum
441,62,3,1750.76,2,1,1,211,Bronze
442,13,7,2789.25,4,3,2,432,Platinum
443,4,7,3171.14,4,3,3,433,Platinum
444,45,7,3807.46,3,3,3,333,Gold
445,24,11,8081.86,3,4,4,344,Gold
446,52,8,5363.3,2,4,4,244,Silver
447,0,6,2781.88,4,2,2,422,Platinum
448,188,5,2413.08,1,2,2,122,Bronze
449,133,6,3292.4,1,2,3,123,Bronze
450,82,4,3178.3,2,1,3,213,Silver
451,66,6,2560.37,2,2,2,222,Silver
452,24,5,1561.59,3,2,1,321,Gold
453,41,8,2292.05,3,4,2,342,Gold
454,49,7,4738.75,2,3,4,234,Silver
455,67,3,1600.9,2,1,1,211,Bronze
456,88,5,2183.1,2,2,2,222,Silver
457,115,5,3680.34,1,2,3,123,Bronze
458,26,5,1247.24,3,2,1,321,Gold
459,38,5,2402.4,3,2,2,322,Gold
460,17,4,2017.66,4,1,2,412,Platinum
461,20,8,5722.38,3,4,4,344,Gold
462,142,6,3600.26,1,2,3,123,Bronze
463,59,7,3829.7,2,3,3,233,Silver
464,9,6,2102.99,4,2,2,422,Platinum
465,4,6,3488.79,4,2,3,423,Platinum
466,40,7,2813.66,3,3,3,333,Gold
467,169,7,3850.32,1,3,3,133,Bronze
468,94,6,4063.59,1,2,3,123,Bronze
469,101,10,4177.21,1,4,4,144,Bronze
470,9,7,1890.57,4,3,2,432,Platinum
471,48,6,3918.11,2,2,3,223,Silver
472,49,5,3309.79,2,2,3,223,Silver
473,115,9,8364.66,1,4,4,144,Bronze
474,97,2,1520.73,1,1,1,111,Bronze
475,24,7,2907.28,3,3,3,333,Gold
476,9,4,1353.61,4,1,1,411,Gold
477,35,5,3375.06,3,2,3,323,Gold
478,3,9,3320.21,4,4,3,443,Platinum
479,76,9,3335.2,2,4,3,243,Silver
480,17,2,644.02,4,1,1,411,Gold
481,14,2,1617.21,4,1,1,411,Gold
482,75,10,5887.2,2,4,4,244,Silver
483,40,7,2307.78,3,3,2,332,Gold
484,19,5,1704.78,3,2,1,321,Gold
485,14,6,2715.28,4,2,2,422,Platinum
486,91,5,4915.77,1,2,4,124,Bronze
487,139,2,687.51,1,1,1,111,Bronze
488,27,7,1172.1,3,3,1,331,Gold
489,124,5,2073.68,1,2,2,122,Bronze
490,53,9,4593.01,2,4,4,244,Silver
491,68,7,2735.71,2,3,2,232,Silver
492,89,4,2707.9,1,1,2,112,Bronze
493,75,3,151.94,2,1,1,211,Bronze
494,133,3,894.99,1,1,1,111,Bronze
495,128,6,4087.04,1,2,3,123,Bronze
496,45,4,1310.77,3,1,1,311,Silver
497,59,4,1061.48,2,1,1,211,Bronze
498,7,7,4982.41,4,3,4,434,Platinum
499,55,11,4043.58,2,4,3,243,Silver
500,24,8,3977.81,3,4,3,343,Gold
501,128,4,1392.59,1,1,1,111,Bronze
502,131,5,2959.58,1,2,3,123,Bronze
503,83,4,1280.64,2,1,1,211,Bronze
504,136,8,2714.76,1,4,2,142,Bronze
505,14,5,3369.47,4,2,3,423,Platinum
506,56,10,6985.24,2,4,4,244,Silver
507,36,8,4290.77,3,4,4,344,Gold
508,155,6,3533.36,1,2,3,123,Bronze
509,89,6,4389.73,1,2,4,124,Bronze
510,59,2,1694.59,2,1,1,211,Bronze
511,11,5,2782.88,4,2,2,422,Platinum
512,95,4,1136.34,1,1,1,111,Bronze
513,14,5,4222.14,4,2,4,424,Platinum
514,123,5,2144.29,1,2,2,122,Bronze
515,14,9,6986.24,4,4,4,444,Platinum
516,19,10,4722.21,3,4,4,344,Gold
517,10,6,2632.16,4,2,2,422,Platinum
518,261,3,938.25,1,1,1,111,Bronze
519,55,4,2326.39,2,1,2,212,Silver
520,16,5,819.26,4,2,1,421,Platinum
521,154,2,624.9,1,1,1,111,Bronze
522,41,4,1663.83,3,1,1,311,Silver
523,18,6,2795.77,4,2,2,422,Platinum
524,138,7,2024.53,1,3,2,132,Bronze
525,119,8,3584.83,1,4,3,143,Bronze
526,154,3,1111.55,1,1,1,111,Bronze
527,43,2,1694.76,3,1,1,311,Silver
528,134,7,4175.15,1,3,4,134,Bronze
529,12,6,2339.14,4,2,2,422,Platinum
530,162,3,1751.35,1,1,1,111,Bronze
531,61,6,1761.46,2,2,1,221,Silver
532,28,6,3920.83,3,2,3,323,Gold
533,2,6,5387.05,4,2,4,424,Platinum
534,6,8,4809.95,4,4,4,444,Platinum
535,73,2,1261.57,2,1,1,211,Bronze
536,32,4,3662.3,3,1,3,313,Gold
537,49,3,825.73,2,1,1,211,Bronze
538,4,7,6447.15,4,3,4,434,Platinum
539,36,8,1676.43,3,4,1,341,Gold
540,79,6,1821.03,2,2,2,222,Silver
541,137,5,2755.28,1,2,2,122,Bronze
542,38,6,2098.52,3,2,2,322,Gold
543,0,5,1924.15,4,2,2,422,Platinum
544,173,4,2246.42,1,1,2,112,Bronze
545,6,6,5665.79,4,2,4,424,Platinum
546,37,5,4449.53,3,2,4,324,Gold
547,74,6,2901.19,2,2,3,223,Silver
548,10,7,4223.29,4,3,4,434,Platinum
549,40,8,3751.75,3,4,3,343,Gold
550,14,5,1437.72,4,2,1,421,Platinum
551,152,4,2850,1,1,3,113,Bronze
552,159,4,1577.7,1,1,1,111,Bronze
553,19,6,2566.27,3,2,2,322,Gold
554,38,3,1670.67,3,1,1,311,Silver
555,165,4,3505.63,1,1,3,113,Bronze
556,9,5,3985.03,4,2,3,423,Platinum
557,181,2,830.31,1,1,1,111,Bronze
558,35,7,3513.02,3,3,3,333,Gold
559,6,4,1824.48,4,1,2,412,Platinum
560,41,6,3583.46,3,2,3,323,Gold
561,28,6,2891.59,3,2,3,323,Gold
562,36,5,2125.01,3,2,2,322,Gold
563,33,7,1931.13,3,3,2,332,Gold
564,11,6,2143.39,4,2,2,422,Platinum
565,104,10,7079.07,1,4,4,144,Bronze
566,52,3,2145.56,2,1,2,212,Silver
567,60,4,439.57,2,1,1,211,Bronze
568,91,7,1258.1,1,3,1,131,Bronze
569,98,4,6084.14,1,1,4,114,Bronze
570,35,6,3446.07,3,2,3,323,Gold
571,72,3,2284.98,2,1,2,212,Silver
572,13,6,2600.44,4,2,2,422,Platinum
573,105,2,1618.83,1,1,1,111,Bronze
574,277,4,2172.41,1,1,2,112,Bronze
575,248,2,714.24,1,1,1,111,Bronze
576,7,6,4580.35,4,2,4,424,Platinum
577,2,11,4242.34,4,4,4,444,Platinum
578,199,7,2754.81,1,3,2,132,Bronze
579,52,9,4204.6,2,4,4,244,Silver
580,24,5,2185.51,3,2,2,322,Gold
581,53,4,2223.55,2,1,2,212,Silver
582,149,4,2744.6,1,1,2,112,Bronze
583,31,4,2258.19,3,1,2,312,Gold
584,132,4,1270.21,1,1,1,111,Bronze
585,97,7,2991.86,1,3,3,133,Bronze
586,90,4,2562.47,1,1,2,112,Bronze
587,53,7,3293.38,2,3,3,233,Silver
588,19,5,3603.85,3,2,3,323,Gold
589,10,3,1397.9,4,1,1,411,Gold
590,43,12,6629.57,3,4,4,344,Gold
591,221,2,484.96,1,1,1,111,Bronze
592,199,4,1071.53,1,1,1,111,Bronze
